session,subject,night,resp_frac,swa_frac,SO_frac,delta_low_frac,delta_high_frac,card_over_swa,f_resp_peak_hz,f_swa_peak_hz,f_card_hz,f_card_bpm,f_trough_hz,sep_ratio,harm_frac_cardiac,rho_delta_cardiac,rho_delta_resp,rho_deltahigh_cardiac,rho_deltahigh_resp,n_windows
S1N1,OS001,1,0.4095,0.5905,0.1819,0.1615,0.2472,0.832,0.1,0.533,0.6,36.0,0.5,1.01,0.937,0.961,0.75,0.672,0.474,811
S1N2,OS001,2,0.7121,0.2879,0.1318,0.0872,0.0689,0.9154,0.1,0.5,0.6,36.0,0.433,1.11,0.934,0.978,0.829,0.689,0.545,831
S2N1,OS002,1,0.3132,0.6868,0.2037,0.286,0.197,0.9232,0.1,0.867,0.867,52.0,0.6,1.09,0.852,0.973,0.779,0.624,0.417,794
S2N2,OS002,2,0.7799,0.2201,0.1559,0.0459,0.0184,0.9771,0.1,0.5,0.667,40.0,0.4,3.86,0.854,0.989,0.865,0.766,0.592,680
S3N1,OS003,1,0.4331,0.5669,0.3039,0.2103,0.0527,0.9757,0.1,0.5,0.6,36.0,0.267,1.61,0.847,0.872,0.249,0.401,-0.002,699
S3N2,OS003,2,0.4694,0.5306,0.3011,0.1359,0.0936,0.9379,0.133,0.5,0.6,36.0,0.5,1.0,0.966,0.917,0.437,0.483,0.098,914
S4N1,OS004,1,0.2843,0.7157,0.428,0.2325,0.0551,0.9652,0.1,0.667,0.667,40.0,0.433,5.06,1.0,0.958,0.499,0.829,0.403,596
S4N2,OS004,2,0.3716,0.6284,0.2258,0.2805,0.1222,0.9338,0.1,0.5,0.6,36.0,0.367,1.07,1.0,0.923,0.277,0.632,0.122,670
S5N1,OS005,1,0.573,0.427,0.1451,0.1232,0.1586,0.8154,0.1,0.567,0.7,42.0,0.5,1.31,0.856,0.921,0.355,0.474,0.019,465
S5N2,OS005,2,0.3329,0.6671,0.152,0.1914,0.3237,0.7702,0.1,0.5,0.6,36.0,0.5,1.0,0.912,0.882,0.305,0.439,0.011,526
S6N1,OS006,1,0.8529,0.1471,0.0962,0.0381,0.0128,0.9651,0.1,0.5,0.6,36.0,0.5,1.0,0.97,0.929,0.465,0.597,0.235,528
S6N2,OS006,2,0.8068,0.1932,0.1408,0.0447,0.0077,0.9861,0.1,0.5,0.6,36.0,0.467,1.06,1.0,0.97,0.75,0.804,0.58,605
